instrument,facility,hemisphere,wave_min_nm,wave_max_nm,resolving_power,spectral_domain,status,status_as_of,performance_class,reported_performance,primary_reference,status_source
iSHELL,NASA IRTF 3.0-m,north,1100,5300,80000,near_infrared,operational,2026-09-02,on_sky_stability,"A cross-dispersed infrared spectrograph used with a methane-isotopologue gas cell; RV performance is mode- and target-dependent",https://doi.org/10.3847/1538-3881/ab3b0f,https://irtfweb.ifa.hawaii.edu/~ishell/
IRD,Subaru 8.2-m,north,970,1750,70000,near_infrared,operational,2026-09-02,on_sky_stability,"Forward modelling demonstrated sub-2 m/s internal precision for bright slowly rotating mid-to-late M dwarfs; tellurics remain a limiting term",https://doi.org/10.1093/pasj/psaa085,https://subarutelescope.org/Observing/Instruments/IRD/
PFS,Magellan II Clay 6.5-m,south,388,668,120000,optical,operational,2026-09-02,on_sky_stability,"The iodine-cell instrument has changed configuration since commissioning; performance values must be tagged to instrument era",https://doi.org/10.1117/12.857792,https://carnegiescience.edu/carnegie-planet-finder-spectrograph-integration-and-commissioning
SPIRou,Canada-France-Hawaii Telescope,north,950,2500,70000,near_infrared,operational,2026-09-02,on_sky_stability,"Combines NIR velocimetry and spectropolarimetry, supporting direct activity diagnostics rather than RV precision alone",https://doi.org/10.1093/mnras/staa2569,https://www.cfht.hawaii.edu/Instruments/SPIRou/
NIRPS,ESO 3.6-m La Silla,south,970,1850,82000,near_infrared,operational,2026-09-02,on_sky_stability,"Operational since April 2023 with public pipeline-reduced spectra; high-accuracy mode is designed around approximately 1 m/s capability",https://www.eso.org/sci/publications/announcements/sciann17719.html,https://www.eso.org/cms/eso-archive-news/release-of-nirps-pipeline-reduced-spectra.html
MAROON-X,Gemini North,north,500,920,85000,optical,operational,2026-09-02,on_sky_stability,"Regular visiting-instrument use has demonstrated sub-m/s short-term RV performance on selected targets",https://conference.ipac.caltech.edu/eprv5/system/media_files/binaries/6/original/seifahrt.pdf,https://www.gemini.edu/instrumentation/maroon-x
HARPS3,Isaac Newton Telescope,north,380,690,115000,optical,commissioning,2026-09-02,design_requirement,"Delivered in October 2025; installation and commissioning continue through 2026 for the Terra Hunting Experiment",https://www.terrahunting.org/harps3.html,https://www.terrahunting.org/harps3.html
ANDES,ESO Extremely Large Telescope,south,400,1800,100000,optical_and_near_infrared,planned,2026-09-02,design_requirement,"Baseline wavelength precision is 1 m/s with a 0.1 m/s goal; these are requirements, not achieved performance",https://elt.eso.org/instrument/ANDES/,https://elt.eso.org/instrument/ANDES/
PARVI,Palomar Hale 5.1-m,north,1200,1800,100000,near_infrared,legacy,2026-09-02,commissioning_report,"Commissioning observations reported 4–10 m/s intra-night stability against a roughly 1 m/s design goal; the Caltech laboratory now lists PARVI as legacy",https://doi.org/10.1117/1.JATIS.9.3.038006,https://etlab.astro.caltech.edu/
PARAS-2,PRL 2.5-m Mount Abu,north,380,690,107000,optical,operational,2026-09-02,on_sky_stability,"A 2024 stellar study reported 2.65 m/s daily dispersion for a standard star; the 20–50 cm/s calibration drift test is an off-sky measurement",https://doi.org/10.1051/0004-6361/202450934,https://www.prl.res.in/~miro/paras2.html
G-CLEF,Giant Magellan Telescope,south,350,950,105000,optical,planned,2026-09-02,design_requirement,"Specifications describe a future instrument and must not be reported as achieved on-sky performance",https://www.gmto.org/instrument/g-clef/,https://www.gmto.org/instrument/g-clef/
